Taxa,Subpopulation
W10001_0016,Broad origin-public 
W10001_0018,Broad origin-public 
W10001_0030,Broad origin-public 
W10001_0031,Broad origin-public 
W10001_0040,Broad origin-public 
W10002_0001,Broad origin-public 
W10002_0004,Broad origin-public 
W117HT,Broad origin-public 
W153R,Broad origin-public 
W182B,Broad origin-public 
W182BN,Broad origin-public 
W182E,Broad origin-public 
W22,Broad origin-public 
W23,Broad origin-public 
W24,Broad origin-public 
W32,Broad origin-public 
W37A,Broad origin-public 
W552,Broad origin-public 
W59E,Broad origin-public 
W601S,NSS-Mo17
W602S,Mixed
W603S,Mixed
W604S,NSS-Mo17
W605S,NSS-Mo17
W64A,Mixed
W703,Mixed
W7151,Sweet corn
W802G,Mixed
W803G,Tropical
W809G,SS-B73
W810G,Mixed
W811G,SS-B73
W812G,SS-B73
W813G,SS-B14
W814G,Mixed
W815G,Mixed
W816G,Mixed
W817G,NSS-Oh43
W818G,Mixed
W819G,SS-B73
W820G,SS-B73
W821G,NSS-Oh43
W8304,SS-B73
W85,Sweet corn
W8555,SS-B73
W9,Broad origin-public 
WD,Broad origin-public 
WD456,Mixed
Wf9,NSS-Oh43
WIL500,Tropical
WIL900,NSS-Mo17
WIL901,NSS-Mo17
WIL903,NSS-Mo17
WR3,Broad origin-public 
WU-TAN-TZAO,Mixed
WXB6,Mixed
YANG,Tropical
YE_4,Tropical
YE-CHI-HUNG,Tropical
YELLOW_3-4,Tropical
YING-55,Broad origin-public 
Yong_28,Mixed
Yu796_NS,Mixed
ZS01250,Mixed
ZS1791,SS-B73
ZS635,Mixed
